Year	tree ring data
3317	189.33
3318	235.48
3319	238.79
3320	234.89
3321	216.26
3322	219.29
3323	179.11
3324	217.95
3325	5215.9
3326	250.91
3327	262.28
3328	252.65
3329	283.87
3330	267.51
3331	247.18
3332	192.47
3333	192.75
3334	220.43
3335	205.84
3336	206.55
3337	227.29
3338	228.78
3339	209.41
3340	167.92
3341	204.88
3342	245.08
3343	264.68
3344	248.99
3345	219.53
3346	200.24
3347	197.41
3348	210.36
3349	225.5
3350	279.52
3351	1283.7
3352	307.85
3353	298.84
3354	255.34
3355	210.36
3356	192.73
3357	191.7
3358	196.02
3359	197.58
3360	186.26
3361	206.46
3362	205.72
3363	200.04
3364	199.24
3365	208.6
3366	222.09
3367	212.48
3368	216.68
3369	205.27
3370	220.7
3371	203.53
3372	246.49
3373	319.28
3374	400.44
3375	393.23
3376	301.81
3377	164.34
3378	121.62
3379	155.29
3380	167.75
3381	177.26
3382	159.59
3383	198.81
3384	212.34
3385	261.53
3386	276.77
3387	301.32
3388	259.31
3389	209.71
3390	163.11
3391	1161.2
3392	228.96
3393	305.49
3394	275.99
3395	234.63
3396	192.17
3397	219.67
3398	239.28
3399	264.46
3400	231.37
3401	199.41
3402	196.2
3403	216.21
3404	252.93
3405	231.13
3406	220.91
3407	218.38
3408	256.06
3409	255.11
3410	237.89
3411	228
3412	274.25
3413	253.75
3414	258.51
3415	238.01
3416	255.77
3417	222.27
3418	197.55
3419	163.98
3420	178.47
3421	169
3422	132.25
3423	151.59
3424	177.27
3425	218.47
3426	265.55
3427	289.79
3428	284.52
3429	253.55
3430	189
3431	208.27
3432	184.22
3433	179.16
3434	203.65
3435	231.34
3436	253.77
3437	259.28
3438	238.48
3439	222.29
3440	232.74
3441	239.53
3442	227.78
3443	243.45
3444	237.33
3445	246.49
3446	209.87
3447	251.34
3448	225.05
3449	221
3450	174.63
3451	166.11
3452	162.32
3453	185.74
3454	165.45
3455	168.41
3456	218.08
3457	249.38
3458	237.98
3459	207.76
3460	216.73
3461	269.76
3462	212.42
3463	258.18
3464	205
3465	327.21
3466	313.19
3467	303
3468	206.73
3469	169.22
3470	183.84
3471	261.15
3472	268.66
3473	274.91
3474	285.37
3475	264.51
3476	238.79
3477	230.33
3478	246.95
3479	305.29
3480	264.03
3481	204.38
3482	211.51
3483	159.66
3484	158.54
3485	127.85
3486	219.17
3487	242.91
3488	254.27
3489	257.42
3490	242
3491	280.11
3492	228.47
3493	203.41
3494	143.44
3495	212.84
3496	198.68
3497	156.37
3498	153.54
3499	163.72
3500	253.5
3501	279.85
3502	269.33
3503	259.08
3504	224
3505	183.51
3506	163.78
3507	185.33
3508	192.72
3509	190.59
3510	165.82
3511	212.92
3512	195.12
3513	169.92
3514	73
3515	81
3516	95
3517	161.87
3518	210.04
3519	216.48
3520	244.15
3521	256
3522	254
3523	239.92
3524	252.63
3525	273.45
3526	292.16
3527	288.73
3528	342.62
3529	298.79
